VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,7/1/2015 0:00,7/1/2015 0:25,1,4.52,-73.97858429,40.75534439,1,N,-73.91493988,40.75705338,1,19.5,0.5,0.5,5.2,0,0.3,26
2,7/1/2015 0:00,7/1/2015 0:11,1,2.68,-73.98404694,40.73202133,1,N,-73.97933197,40.76155853,1,10.5,0.5,0.5,1,0,0.3,12.8
2,7/1/2015 0:00,7/1/2015 0:08,2,2.41,-73.98709106,40.72946167,1,N,-73.96884155,40.75836563,1,9,0.5,0.5,1.5,0,0.3,11.8
2,7/1/2015 0:00,7/1/2015 0:17,1,4.46,-73.99974823,40.73863983,1,N,-73.9754715,40.78947067,1,17,0.5,0.5,2,0,0.3,20.3
2,7/1/2015 0:00,7/1/2015 0:16,5,3.17,-73.9834137,40.76554489,1,N,-73.96590424,40.8005867,1,14.5,0.5,0.5,3.16,0,0.3,18.96
2,7/1/2015 0:00,7/1/2015 0:04,2,1.02,-74.01013947,40.72050858,1,N,-74.00793457,40.7312851,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,7/1/2015 0:00,7/1/2015 0:08,1,1.78,-73.97873688,40.78765869,1,N,-73.96562195,40.80792999,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,7/1/2015 0:00,7/1/2015 0:03,1,1,-73.97335052,40.76108932,1,N,-73.9625473,40.77050018,1,5,0.5,0.5,1.26,0,0.3,7.56
2,7/1/2015 0:00,7/1/2015 0:18,6,3.8,-73.93863678,40.8458519,1,N,-73.91558075,40.83861923,2,14.5,0.5,0.5,0,0,0.3,15.8
1,7/1/2015 0:00,7/1/2015 0:12,1,1.8,-73.98709869,40.72073364,1,N,-73.99593353,40.73877716,1,10,0.5,0.5,1,0,0.3,12.3
1,7/1/2015 0:00,7/1/2015 0:06,1,0.8,-73.98786926,40.72101212,1,N,-73.98428345,40.72882843,2,5.5,0.5,0.5,0,0,0.3,6.8
2,7/1/2015 0:00,7/1/2015 0:09,1,2.12,-73.97947693,40.76539612,1,N,-73.95233917,40.77223587,1,9,0.5,0.5,2.06,0,0.3,12.36
2,7/1/2015 0:00,7/1/2015 0:30,1,18.65,-73.78263855,40.64453125,2,N,-73.97859192,40.72444534,2,52,0,0.5,0,0,0.3,52.8
2,7/1/2015 0:00,7/1/2015 0:15,5,3.61,-73.97956848,40.75938034,1,N,-74.00756836,40.72537994,1,13.5,0.5,0.5,4.44,0,0.3,19.24
2,7/1/2015 0:00,7/1/2015 0:09,1,1.25,-74.01010895,40.72054672,1,N,-73.99422455,40.72255325,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,7/1/2015 0:00,7/1/2015 0:14,5,3.54,-73.99046326,40.74611664,1,N,-73.97918701,40.7846756,1,13.5,0.5,0.5,1,0,0.3,15.8
2,7/1/2015 0:00,7/1/2015 0:08,3,1.79,-73.98387146,40.74945068,1,N,-73.98708344,40.72946167,1,8,0.5,0.5,2.32,0,0.3,11.62
2,7/1/2015 0:00,7/1/2015 0:12,2,1.73,-74.00844574,40.72588348,1,N,-73.98550415,40.71443176,2,9.5,0.5,0.5,0,0,0.3,10.8
2,7/1/2015 0:00,7/1/2015 0:12,1,3.59,-73.95278931,40.77661133,1,N,-73.98780823,40.73765182,2,12.5,0.5,0.5,0,0,0.3,13.8
1,7/1/2015 0:00,7/1/2015 0:10,2,2,-74.00143433,40.73593521,1,N,-73.97984314,40.7498436,2,9.5,0.5,0.5,0,0,0.3,10.8
2,7/1/2015 0:00,7/1/2015 0:13,1,3.28,-73.97087097,40.76428986,1,N,-74.0057373,40.7401886,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,7/1/2015 0:00,7/1/2015 0:20,1,3.52,-73.99034119,40.68666077,1,N,-73.9895401,40.72936249,2,16.5,0.5,0.5,0,0,0.3,17.8
2,7/1/2015 0:00,7/1/2015 0:14,6,4.37,-73.98401642,40.74323654,1,N,-73.99665833,40.69346237,2,15,0.5,0.5,0,0,0.3,16.3
2,7/1/2015 0:00,7/1/2015 0:15,1,5.81,-73.98802948,40.74609756,1,N,-73.89718628,40.72490311,2,18,0.5,0.5,0,5.54,0.3,24.84
1,7/1/2015 0:00,7/1/2015 0:23,1,14.7,-73.87303162,40.77408218,1,N,-73.84314728,40.8914566,1,39.5,0.5,0.5,9.25,5.54,0.3,55.59
1,7/1/2015 0:00,7/1/2015 0:06,1,0.9,-73.99263763,40.73748398,1,N,-74.0052948,40.73812485,1,6,0.5,0.5,1,0,0.3,8.3
1,7/1/2015 0:00,7/1/2015 0:14,1,4.5,-73.98205566,40.76083374,1,N,-73.92366028,40.73755646,1,15,0.5,0.5,4.05,0,0.3,20.35
1,7/1/2015 0:00,7/1/2015 0:05,1,1.2,-74.01006317,40.72073746,1,N,-74.0031662,40.7314682,1,6,0.5,0.5,0.7,0,0.3,8
2,7/1/2015 0:00,7/1/2015 0:16,2,5.47,-73.98355103,40.73894882,1,N,-74.0146637,40.71670151,2,18.5,0.5,0.5,0,0,0.3,19.8
1,7/1/2015 0:00,7/1/2015 0:03,1,0.9,-73.98634338,40.7376442,1,N,-73.97628021,40.7448616,1,5,0.5,0.5,1.25,0,0.3,7.55
1,7/1/2015 0:00,7/1/2015 0:20,2,4.9,-73.98810577,40.76450729,1,N,-74.01229858,40.70415115,1,17.5,0.5,0.5,4.7,0,0.3,23.5
2,7/1/2015 0:00,7/1/2015 0:18,1,4.72,-73.98313904,40.7660408,1,N,-73.92195892,40.77111816,1,17.5,0.5,0.5,3.76,0,0.3,22.56
2,7/1/2015 0:00,7/1/2015 0:27,1,10.43,-73.87294006,40.77415085,1,N,-73.98092651,40.76449966,1,32.5,0.5,0.5,11.8,5.54,0.3,51.14
2,7/1/2015 0:00,7/1/2015 0:17,6,6.08,-73.98428345,40.75509262,1,N,-73.95876312,40.81017685,1,20,0.5,0.5,4.26,0,0.3,25.56
2,7/1/2015 0:00,7/1/2015 0:02,1,1.45,-73.78358459,40.64867783,1,N,-73.8024292,40.64767838,2,6,0.5,0.5,0,0,0.3,7.3
2,7/1/2015 0:00,7/1/2015 0:05,2,1.03,-74.01605988,40.70652771,1,N,-74.0052948,40.70664215,1,6,0.5,0.5,1.46,0,0.3,8.76
1,7/1/2015 0:00,7/1/2015 0:28,1,6,-74.00521851,40.71536636,1,N,-73.95722961,40.64200211,1,23,0.5,0.5,2,0,0.3,26.3
1,7/1/2015 0:00,7/1/2015 0:08,1,1.2,-73.98055267,40.76077271,1,N,-73.98947906,40.77144241,1,7.5,0.5,0.5,2,0,0.3,10.8
